"wages","education","age","sex","language","logwages"
10.56,15,40,"Male","English",2.35707327827812
11,13.2,19,"Male","English",2.39789527279837
17.76,14,46,"Male","Other",2.87694873756402
14,16,50,"Female","English",2.63905732961526
8.2,15,31,"Male","English",2.10413415427021
16.97,13.5,30,"Female","English",2.83144707924613
6.7,12,61,"Female","English",1.90210752639692
14,14,46,"Female","Other",2.63905732961526
19.2,18,43,"Male","English",2.95491027903374
7.25,11,17,"Male","English",1.98100146886658
16,7,46,"Male","Other",2.77258872223978
23,14,32,"Male","English",3.13549421592915
36.11,17,35,"Male","English",3.58656983528937
20.16,20,39,"Male","English",3.00370044320317
12.61,13,32,"Male","English",2.53449014997683
13.65,19,30,"Female","English",2.61373952163097
9,13.8,20,"Female","English",2.19722457733622
18.07,13.6,48,"Male","Other",2.89425310460414
16.01,19,39,"Female","English",2.77321352700862
26.4,12.7,38,"Male","English",3.27336401015227
20.65,19,37,"Male","English",3.02771531940704
23.04,19,37,"Female","English",3.13723183582769
24.03,18.3,31,"Male","English",3.17930304974838
12,14,46,"Female","English",2.484906649788
25.6,13,41,"Male","English",3.24259235148552
6.85,15.6,31,"Female","English",1.92424865227413
15,12,40,"Male","English",2.70805020110221
9.75,8,60,"Male","English",2.27726728500976
6.7,11,17,"Female","English",1.90210752639692
15,17,39,"Male","English",2.70805020110221
10.5,13.5,24,"Male","English",2.35137525716348
13.26,12,52,"Female","English",2.58475198475772
17.75,18,34,"Male","English",2.87638551592142
14.26,12,34,"Female","English",2.65745841498615
18.05,15,34,"Male","English",2.89314568477889
18.39,9,40,"Male","English",2.91180703861623
18.92,10.5,48,"Male","English",2.94021956362373
20.64,19,39,"Male","English",3.02723094061336
15.49,14,33,"Female","English",2.74019465442878
10.4,13,62,"Female","English",2.34180580614733
15.39,15,28,"Female","English",2.73371794785079
16.8,12.5,36,"Male","English",2.82137888640921
15.36,20,47,"Female","English",2.73176672771953
17.98,12,53,"Female","English",2.88926002904347
6.7,14,20,"Male","English",1.90210752639692
5,11,17,"Male","Other",1.6094379124341
12,12.8,20,"Male","English",2.484906649788
6.66,15.5,31,"Female","English",1.8961194845523
14,13.5,53,"Female","Other",2.63905732961526
25.6,14,34,"Male","English",3.24259235148552
18.43,17,28,"Male","Other",2.91397977168173
11.5,12,48,"Female","Other",2.4423470353692
14,8,27,"Male","English",2.63905732961526
6.03,14,22,"Male","Other",1.79674701073909
8.23,13,45,"Female","English",2.10778601468898
15.36,11,51,"Female","French",2.73176672771953
13.75,8.5,57,"Male","English",2.62103882411258
7.44,9,34,"Male","English",2.006870848845
24.96,18,44,"Female","English",3.21727454350123
33.18,20,54,"Male","English",3.5019472847623
11.59,13.4,26,"Male","English",2.45014265735166
14.09,14,33,"Male","English",2.64546532591059
23.52,13,32,"Male","English",3.15785112303043
15.84,12,48,"Male","English",2.76253838638628
23.72,9.5,50,"Male","English",3.16631857412952
8.37,12.5,65,"Female","English",2.12465388450138
10.2,12,26,"Female","English",2.32238772029023
7.61,14,23,"Female","English",2.02946317187359
6.75,10,21,"Male","English",1.90954250488444
25.91,14,35,"Female","English",3.25462899457402
15.94,13.2,35,"Female","English",2.76883167336207
6.71,13,28,"Male","English",1.90359895098359
20.79,12,34,"Female","English",3.03447210186992
8.75,12,49,"Female","English",2.16905370036952
20.99,14,47,"Male","English",3.04404613383254
40.32,14,42,"Male","English",3.69684762376311
8.2,14,19,"Male","English",2.10413415427021
11,13,27,"Female","English",2.39789527279837
15,12.5,30,"Male","English",2.70805020110221
40.8,20,60,"Male","English",3.70868208141012
8,12,51,"Female","English",2.07944154167984
14.5,10.5,45,"Female","English",2.67414864942653
9,13,31,"Female","English",2.19722457733622
14.4,8.5,51,"Male","English",2.66722820658195
12,11,53,"Female","French",2.484906649788
7,14.3,18,"Male","English",1.94591014905531
25.92,18,48,"Male","English",3.25501487148407
25.44,11,41,"Male","English",3.23632273847192
10,12.1,34,"Female","English",2.30258509299405
